,Country/Region,DeathRate,VaccineRate,ratioRates,name,region
0,Afghanistan,0.028581486338327924,0.07486996561420965,0.38174835668554674,Afghanistan,Asia
1,Albania,0.1862448687787146,0.6531925224147177,0.2851301299197453,Albania,Europe
2,Algeria,0.021107584343954808,0.251923327928938,0.08378574750294181,Algeria,Africa
3,Andorra,0.35258193486614825,1.328709873588055,0.2653566003194017,Andorra,Europe
4,Angola,0.006646025113469256,0.17983151224983596,0.0369569550426517,Angola,Africa
5,Antigua and Barbuda,0.10705727599955134,1.065576277926766,0.1004688995215311,Antigua and Barbuda,Americas
6,Argentina,0.4434817610331874,2.620820846343694,0.16921483269331006,Argentina,Americas
7,Armenia,0.33780466288084654,0.22840147775855968,1.478995084427324,Armenia,Asia
8,Australia,0.008722076040002531,2.7435395758305168,0.003179132576340623,Australia,Oceania
9,Austria,0.2525581615644676,1.2682677931588098,0.19913630459339654,Austria,Europe
10,Azerbaijan,0.1112086111855683,0.932509947338143,0.11925729211041036,Azerbaijan,Asia
11,Bahamas,0.17968331501194487,0.620023712023316,0.2898007149203802,Bahamas,Americas
12,Bahrain,0.14525348950970074,1.6099709127165256,0.0902211886950259,Bahrain,Asia
13,Bangladesh,0.024498911781264093,0.7379353417458785,0.03319926610819616,Bangladesh,Asia
14,Barbados,0.04292418860480732,0.9356659024412306,0.04587555076316719,Barbados,Americas
15,Belarus,0.07569258735420857,0.4732891215916735,0.15992885511429894,Belarus,Europe
16,Belgium,0.4618441721226395,1.5002256766873439,0.3078497983999581,Belgium,Europe
17,Belize,0.19067808296456018,0.9352003911293861,0.20389008042895443,Belize,Americas
18,Benin,0.00207556498799226,0.020754664292496065,0.1000047487514741,Benin,Africa
19,Bhutan,0.0005225924205989375,1.4274353259540868,0.00036610584808782195,Bhutan,Asia
20,Bolivia,0.3004903246583586,0.6538853543360387,0.4595458862409899,Bolivia,Americas
21,Botswana,0.1347851423025659,0.37414672495375245,0.360246751643293,Botswana,Africa
22,Brazil,0.5166281692343572,2.5514591523452843,0.20248341767865496,Brazil,Americas
